Name,Latitude,Longitude
CALLE 59 CON CARRERA 46 BARRANQUILLA,10.9902237,-74.7949312
CALLE 59 CON CARRERA 47 BARRANQUILLA,10.9914496,-74.7945951
CALLE 59 CON CARRERA 50 BARRANQUILLA,10.9919534,-74.7940735
CALLE 59 CON CARRERA 53 BARRANQUILLA,10.9929475,-74.793324
CALLE 59 CON CARRERA 54 BARRANQUILLA,10.9939843,-74.7926627
CALLE 6 CON CARRERA 30 BARRANQUILLA,10.9852619,-74.7760198
CALLE 60 CON CARRERA 14 BARRANQUILLA,10.9603468,-74.8067513
CALLE 60 CON CARRERA 46 BARRANQUILLA,10.9904172,-74.7956265
CALLE 61 CON CARRERA 24 BARRANQUILLA,10.9714016,-74.8035041
CALLE 61 CON CARRERA 27 BARRANQUILLA,10.9755198,-74.8032603
CALLE 61 CON CARRERA 38 BARRANQUILLA,10.9836332,-74.798959
CALLE 61 CON CARRERA 41 BARRANQUILLA,10.9848317,-74.7980043
CALLE 61 CON CARRERA 43 BARRANQUILLA,10.986423,-74.7975661
CALLE 61 CON CARRERA 44 BARRANQUILLA,10.9878254,-74.7971482
CALLE 62 CON CARRERA 46 BARRANQUILLA,10.9908089,-74.7970541
CALLE 64 CON CARRERA 24 BARRANQUILLA,10.9715268,-74.8057368
CALLE 64 CON CARRERA 27 BARRANQUILLA,10.9759955,-74.8054204
CALLE 64 CON CARRERA 44 BARRANQUILLA,10.988912,-74.79912
CALLE 64 CON CARRERA 46 BARRANQUILLA,10.9911749,-74.7984688
CALLE 64 CON CARRERA 47 BARRANQUILLA,10.992408,-74.798132
CALLE 64 CON CARRERA 53 BARRANQUILLA,10.9952341,-74.7958224
CALLE 64 CON CARRERA 54 BARRANQUILLA,10.9958015,-74.7948918
CALLE 64 CON CARRERA 58 BARRANQUILLA,10.9959516,-74.7946546
CALLE 68 CON CARRERA 21B BARRANQUILLA,10.968804,-74.8097177
CALLE 68 CON CARRERA 27 BARRANQUILLA,10.9765186,-74.8068543
CALLE 68 CON CARRERA 32 BARRANQUILLA,10.9807784,-74.8045322
CALLE 68 CON CARRERA 38 BARRANQUILLA,10.9833319,-74.8034468
CALLE 68 CON CARRERA 43 BARRANQUILLA,10.9889008,-74.8021738
CALLE 68 CON CARRERA 44 BARRANQUILLA,10.9897171,-74.8019449
CALLE 68 CON CARRERA 45 BARRANQUILLA,10.990999,-74.8015695
CALLE 68 CON CARRERA 46 BARRANQUILLA,10.991962,-74.8012952
CALLE 68 CON CARRERA 47 BARRANQUILLA,10.9931928,-74.8009609
CALLE 68 CON CARRERA 50 BARRANQUILLA,10.9951325,-74.7997616
CALLE 68 CON CARRERA 53 BARRANQUILLA,10.9962025,-74.7980303
CALLE 68 CON CARRERA 54 BARRANQUILLA,10.9971989,-74.7975694
CALLE 69 CON CARRERA 41 BARRANQUILLA,10.9868738,-74.8038667
CALLE 69 CON CARRERA 43 BARRANQUILLA,10.9893604,-74.8030104
CALLE 69 CON CARRERA 44 BARRANQUILLA,10.9901915,-74.802703
CALLE 69 CON CARRERA 46 BARRANQUILLA,10.9923736,-74.8019949
CALLE 70 CON CARRERA 38 BARRANQUILLA,10.9844714,-74.8081656
CALLE 70 CON CARRERA 41 BARRANQUILLA,10.9881052,-74.8061665
CALLE 70 CON CARRERA 43 BARRANQUILLA,10.9903972,-74.8048982
CALLE 70 CON CARRERA 44 BARRANQUILLA,10.9913249,-74.804406
CALLE 70 CON CARRERA 45 BARRANQUILLA,10.9922433,-74.8039222
CALLE 70 CON CARRERA 46 BARRANQUILLA,10.9931709,-74.803414
CALLE 70 CON CARRERA 47 BARRANQUILLA,10.9938933,-74.8030315
CALLE 70 CON CARRERA 48 BARRANQUILLA,10.9946462,-74.8026325
CALLE 70 CON CARRERA 49 BARRANQUILLA,10.995353,-74.802252
CALLE 70 CON CARRERA 50 BARRANQUILLA,10.99604,-74.80188
CALLE 70 CON CARRERA 52 BARRANQUILLA,10.9964707,-74.8014623
CALLE 70 CON CARRERA 53 BARRANQUILLA,10.9972485,-74.8007063
CALLE 70 CON CARRERA 54 BARRANQUILLA,10.9981308,-74.799857
CALLE 70 CON CARRERA 58 BARRANQUILLA,11.0000715,-74.7975243
CALLE 70B CON CARRERA 34 BARRANQUILLA,10.9831307,-74.8094388
CALLE 70C CON CARRERA 27 BARRANQUILLA,10.9768643,-74.8097256
CALLE 71 CON CARRERA 27 BARRANQUILLA,10.9769174,-74.8101367
CALLE 71 CON CARRERA 34 BARRANQUILLA,10.9824468,-74.8108464
CALLE 72 CON CARRERA 38 BARRANQUILLA,10.9853111,-74.8111269
CALLE 72 CON CARRERA 41 BARRANQUILLA,10.9892049,-74.8085664
CALLE 72 CON CARRERA 43 BARRANQUILLA,10.991598,-74.8071456
CALLE 72 CON CARRERA 44 BARRANQUILLA,10.9925193,-74.806522
CALLE 72 CON CARRERA 46 BARRANQUILLA,10.9943913,-74.8055641
CALLE 72 CON CARRERA 47 BARRANQUILLA,10.9950587,-74.8051319
CALLE 72 CON CARRERA 49 BARRANQUILLA,10.9965549,-74.8042551
CALLE 72 CON CARRERA 50 BARRANQUILLA,10.9973183,-74.8037816
CALLE 72 CON CARRERA 52 BARRANQUILLA,10.9977678,-74.8032762
CALLE 72 CON CARRERA 53 BARRANQUILLA,10.9983184,-74.8024851
CALLE 72 CON CARRERA 54 BARRANQUILLA,10.9989782,-74.801579
CALLE 72 CON CARRERA 57 BARRANQUILLA,11.0006366,-74.7992663
CALLE 72 CON CARRERA 58 BARRANQUILLA,11.0012906,-74.7984009
CALLE 72 CON CARRERA 59 BARRANQUILLA,11.0018507,-74.7976397
CALLE 72 CON CARRERAS 48 BARRANQUILLA,10.9957798,-74.8046761
CALLE 72 CON VIA 40 BARRANQUILLA,11.007878,-74.7903859
CALLE 74 CON CARRERA 39 BARRANQUILLA,10.9887214,-74.8118419
CALLE 74 CON CARRERA 42F BARRANQUILLA,10.9925952,-74.8095309
CALLE 74 CON CARRERA 43 BARRANQUILLA,10.9929092,-74.8093518
CALLE 74 CON CARRERA 44 BARRANQUILLA,10.9938169,-74.8087984
CALLE 74 CON CARRERA 46 BARRANQUILLA,10.9955138,-74.8077912
